"Date","Time","Location","Home.Team","Home.Team.Abbreviation","Away.Team","Away.Team.Abbreviation","Quarter","Team.Possession","Down","Distance.to.First.Down","Distance.to.Touchdown","Play.Type","Yards","Outcome","Points.Scored.","Completed.Pass.","Incomplete.Pass.","Run.","Touchdown.","Field.Goal.","Penalty.","Punt.","Sack.","Interception.","Safety.","Fumble.","Extra.Point.","Turnover.","Drive.Number","Team.Play.Number","Play.Description"
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins","1","10","14","pass","6","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,16,"ryan stevens pass complete to quinn revere for 6 yards to the cwr08, out-of-bounds (toth,marco)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins","2","4","8","rush","8","Touchdown",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,17,"danny wolf rush for 8 yards to the cwr00, touchdown, clock 04:54."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins","2","4","8","kick","Extra Point Attempt","Made Extra Point Attempt",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,18,"john krill kick attempt good."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Case Western Reserve","1","10","75","pass","5","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,11,"saxton,drew pass complete to dahlem,ethan for 5 yards to the cwr30."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Case Western Reserve","2","5","70","rush","23","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,12,"orsini,antonio rush for 23 yards to the jhu47, out-of-bounds (josh andersson)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Case Western Reserve","1","10","47","pass","0","",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,13,"saxton,drew pass complete to orsini,antonio for no gain to the jhu47 (pj penders; d. vankouteren)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Case Western Reserve","2","10","47","pass","9","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,14,"saxton,drew pass complete to coyne,noah for 9 yards to the jhu38 (luca lutzel)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Case Western Reserve","3","1","38","rush","1","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,15,"filips,aaron rush for 1 yard to the jhu37 (josh andersson)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Case Western Reserve","1","10","37","pass","Penalty","incomplete, penalty",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,16,"saxton,drew pass incomplete to m. wojkowski, penalty jhu pass interference (pj penders) 13 yards to the jhu24, no play."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Case Western Reserve","1","10","24","pass","0","Incomplete Pass",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,17,"saxton,drew pass incomplete to m. wojkowski."
